ACCOUNT_NO,PARCEL_NO,LAND_ACT,IMPV_ACT,LAND_ASS,IMPV_ASS
"M025002","566509300012",0.0000,22250.0000,0.0000,1390.0000
"M025005","591135300062",0.0000,30.0000,0.0000,0.0000
"M025012","590324100773",0.0000,8370.0000,0.0000,520.0000
"M025015","594902400012",0.0000,8140.0000,0.0000,510.0000
"M025018","595123100235",0.0000,5330.0000,0.0000,330.0000
"M025020","590930100227",0.0000,810.0000,0.0000,50.0000
"M025023","591135401020",0.0000,8250.0000,0.0000,520.0000
"M025024","566507400017",0.0000,3150.0000,0.0000,200.0000
"M025026","590307300468",0.0000,1920.0000,0.0000,120.0000
"M025030","590516400543",0.0000,9030.0000,0.0000,560.0000
"M025032","566506400083",0.0000,5770.0000,0.0000,360.0000
"M025035","595118400093",0.0000,12410.0000,0.0000,780.0000
"M025036","595316300417",0.0000,5130.0000,0.0000,320.0000
"M025040","566115400025",0.0000,8860.0000,0.0000,550.0000
"M025044","566512300013",0.0000,6980.0000,0.0000,440.0000
"M025050","590319100848",0.0000,29610.0000,0.0000,1850.0000
"M025052","567308401003",0.0000,14990.0000,0.0000,940.0000
"M025053","559710200006",0.0000,31330.0000,0.0000,1960.0000
"M025062","567933400093",0.0000,4340.0000,0.0000,270.0000
"M025064","559703400090",0.0000,10080.0000,0.0000,630.0000
"M025068","590915200173",0.0000,27110.0000,0.0000,1690.0000
"M025071","590309300803",0.0000,11030.0000,0.0000,690.0000
"M025075","559710200006",0.0000,38940.0000,0.0000,2430.0000
"M025076","566530300074",0.0000,12390.0000,0.0000,770.0000
"M025079","595521300270",0.0000,1500.0000,0.0000,90.0000
"M025080","595508316015",0.0000,2430.0000,0.0000,150.0000
"M025081","590511200199",0.0000,5580.0000,0.0000,350.0000
"M025082","567712202004",0.0000,11520.0000,0.0000,720.0000
"M025083","567712202004",0.0000,49900.0000,0.0000,3120.0000
"M025085","590310400380",0.0000,21010.0000,0.0000,1310.0000
"M025086","590909300012",0.0000,10110.0000,0.0000,630.0000
"M025087","566504100011",0.0000,7710.0000,0.0000,480.0000
"M025089","567712202004",0.0000,8650.0000,0.0000,540.0000
"M025095","566530300074",0.0000,12200.0000,0.0000,760.0000
